molecule_chembl_id,Smiles,pIC50,bioactivity_class
CHEMBL3633116,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCCc2ccccc2)C(C)C)C(C)C)ccc1OC.Cl,7.917,1
CHEMBL3633136,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)Cn2cc(C(C)O)nn2)C(C)C)C(C)C)ccc1OC.Cl,8.959,1
CHEMBL2365004,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2Cc2ccccc2)C(C)C)ccc1OC,6.77,1
CHEMBL3321928,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)ccc1F,4.796,0
CHEMBL1276280,COCCCN1C(=O)COC2C=CC(SC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)=CC21,9.745,1
CHEMBL3400458,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)CC2CCCCC2)C(C)C)ccc1OC,7.523,1
CHEMBL3400455,CCN(Cc1ccccc1)C(=O)N[C@@H]1CNC[C@H]1CN(C(=O)c1ccc(OC)c(OCCCOC)c1)C(C)C,6.824,1
CHEMBL3400448,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)OC2CCCCC2)C(C)C)ccc1OC,7.301,1
CHEMBL1276275,COc1ccccc1COCCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,10.409,1
CHEMBL4129207,COCCCCn1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)cc2ccccc21,8.0,1
CHEMBL557064,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)CN(C(=O)c1ccc(OC)c(/C=C/CCOC)c1)C(C)C,9.0,1
CHEMBL3400443,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)CC2CCOCC2)C(C)C)ccc1OC,6.301,1
CHEMBL3400436,COCCCOc1cc(C(=O)N(C[C@H]2CNC[C@@H]2NCc2ccc3ccccc3c2)C(C)C)ccc1OC,5.688,0
CHEMBL3400461,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2cccc(OC)c2)C(C)C)ccc1OC,6.301,1
CHEMBL3400457,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)CC2CCCC2)C(C)C)ccc1OC,7.824,1
CHEMBL3400450,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)OCc2ccccc2)C(C)C)ccc1OC,7.456,1
CHEMBL3400449,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NC(=O)OCC2CCCCC2)C(C)C)ccc1OC,7.699,1
CHEMBL1076464,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C(F)(F)CNC2)C2CC2)c1C,6.481,1
CHEMBL1076462,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3CC[C@H]2N3)C2CC2)c1C,7.367,1
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,9.187,1
CHEMBL2419050,CC[C@@H](NC(=O)[C@@H]1CNC[C@H](N2CC(=O)N(c3ccccc3Cl)CC2(C)C)C1)c1cccc(Cl)c1.O=C(O)/C=C/C(=O)O,8.638,1
CHEMBL1270873,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CCCNCC1,5.467,0
CHEMBL1271185,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccccc2n1C1CCCC1,7.699,1
CHEMBL4106854,COCCCOc1ccc2c(c1)[C@H](N(C(=O)[C@H]1CNCCO1)C1CC1)CC2,7.357,1
CHEMBL1231601,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)CC(C)(C)CC(=O)N1C[C@H](C(=O)OC)Cc2ccccc21,9.097,1
CHEMBL1076462,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C[C@H]3CC[C@H]2N3)C2CC2)c1C,9.131,1
CHEMBL1093936,COCCCc1cc(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c(Cl)c[n+]1[O-],8.745,1
CHEMBL1076451,CC1(C)CNCC(C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)=C1c1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1,7.509,1
CHEMBL1824935,Cc1cccc(C)c1Oc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,7.523,1
CHEMBL4094484,CCc1nc(N)nc(N)c1-c1cccc2cc[nH]c12,4.535,0
CHEMBL380866,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN2CCCC2=O)CCC3)cc1,6.218,1
CHEMBL556165,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOCC)c1)C(C)C.Cl,8.398,1
CHEMBL195669,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(C(F)(F)F)cc2)cc1,5.167,0
CHEMBL196981,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccc(C(F)(F)F)c2)cc1,6.638,1
CHEMBL1824930,Cc1c(F)cccc1Oc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,7.244,1
CHEMBL4107073,COCCCn1nc(C)c2ccc([C@@H](C)N(C(=O)[C@H]3CNCCN3)C3CC3)cc21,7.237,1
CHEMBL2387543,Cc1ccc(F)cc1N1CC(C)(C)N(C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(=O)O)C(C)C)CC1=O.O=C(O)CCC(=O)O,7.796,1
CHEMBL1946050,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2cc(Cl)ccc12)N1CCNCC1,6.27,1
CHEMBL1946465,Cc1cc(Cl)c(OCCOc2ccc(N3C(=O)CNC[C@@H]3C(=O)N(Cc3cccc(C)c3C)C3CC3)cc2)cc1C,8.11,1
CHEMBL50412,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCS(=O)(=O)C(C)C,7.854,1
CHEMBL2204733,CC(C)C[C@@H](NC(=O)[C@@H]1CNC[C@H](N2CC(=O)N(c3ccccc3Cl)CC2(C)C)C1)C(=O)N(C)C.O=C(O)/C=C/C(=O)O,8.076,1
CHEMBL4115454,COCCCOc1cc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc(Cl)c1OC,8.18,1
CHEMBL382977,CC(C)S(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,8.119,1
CHEMBL3321923,COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCCN2C(=O)c3ccccc3C2=O)cc1OC,4.569,0
CHEMBL1910307,CONC(=O)Cn1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)cccc21,8.658,1
CHEMBL1258395,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4cncnc4)cc3C)cc2)c(Cl)c1,6.212,1
CHEMBL566633,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cc(F)cc(-c3cncnc3)c2)N=C1N,4.86,0
CHEMBL264225,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)CN[C@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C1=O,5.562,0
CHEMBL3318940,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc3c(cc2F)OC(C)(C)C(=O)N3CCCOC)C2CC2)C1.Cl,9.523,1
CHEMBL1910293,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2cc(F)cc(F)c2)C2CC2)cc(OCCOC)c1,7.638,1
CHEMBL560682,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CNC(C)C)NC(=O)c1ccc(OC)c(OCCCOC)c1,6.174,1
CHEMBL1257701,COCCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,9.357,1
CHEMBL1256488,COCCCOc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,8.77,1
CHEMBL1258051,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4ccccc4CCC#N)cc3C)cc2)c(Cl)c1,7.975,1
CHEMBL78096,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)N(C)CCN(C)C)C(C)C)nnc12,6.674,1
CHEMBL2028945,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])C(C)C)C(=O)NCc1cccc[n+]1[O-].[Na+],9.509,1
CHEMBL1824959,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2nc(O)ccc2n1-c1ccccc1,5.301,0
CHEMBL1796068,COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ccccc21,8.638,1
CHEMBL484897,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(Cl)c2F)C1,8.027,1
CHEMBL1824950,COC[C@H]1CN(C(=O)c2c(Oc3c(C)cccc3C)n(-c3ccccc3)c3cccnc23)CCN1,6.538,1
CHEMBL1824952,CCC[C@H]1CN(C(=O)c2c(Oc3c(C)cccc3C)n(-c3ccccc3)c3cccnc23)CCN1,5.928,0
